Products
name,price,image_url,description,country_of_origin,,
Oxy Fizz,19.99,,"Sparkle up your space with Oxy Fizz, a fizzy burst of pure, oxygen-rich air. This delightful concoction not only rejuvenates your senses but also infuses your surroundings with a lively, effervescent ambiance, leaving you refreshed and revitalized.",Spain,,
International Air,24.50,,"Embark on a global olfactory journey with International Air, a collection of scents inspired by the world's most captivating destinations. From the tranquil beaches to the bustling cityscapes, each can encapsulates the essence of a different corner of the globe.",US,,
AirTastic,21.99,,"Transform your space into a haven of freshness with AirTastic, where each can releases a burst of revitalizing energy. Whether it's for a quick refresh or to set the mood, AirTastic brings a touch of magic to your environment.",Japan,,
Inteligent Air,32.99,,"Raise the bar on your surroundings with Inteligent Air, a smart choice for a refreshing atmosphere. Its advanced formulation not only purifies the air but also revitalizes your senses, making it perfect for any workspace or environment.",Germany,,
Air Pure,28.50,"AirPure1.jpeg","AirPure offers a range of canned air products designed to bring the rejuvenating essence of nature to your space. From mountain breezes to coastal serenity, each can is a breath of fresh air.",Japan,,
EcoVapor,26.50,,"EcoVapor specializes in eco-friendly canned air, providing a selection of scents inspired by the world's most breathtaking natural environments. Elevate your surroundings with our sustainable air solutions.",China,,
AzroZen,34.99,,"AzroZen invites you on a sensory journey to find your zen with our calming and uplifting canned air. Experience the serenity of zen gardens or the calmness of a wilderness retreat, all at your fingertips.",China,,
Arctic Aura,39.99,,"ArcticAura brings the crisp, invigorating air of the polar regions directly to you. Experience the purity and revitalizing effects of the Arctic every single day.",Canada,,
Tropicool,25.99,,"TropiCool offers a vacation in a can! Immerse yourself in the soothing scents of tropical paradises, complete with the gentle rustle of palm leaves and the kiss of ocean breezes.",Cuba,,
Mystic Air,27.25,,"Transport yourself to mystical realms with Mystic Air's enchanting canned air. From ancient forests to cosmic wonders, each can holds a unique olfactory adventure waiting to be explored.",Japan,,
Sky Scent,28.50,,The freshest air comes from where the sky meets the earth. SkyScent harnesses the invigorating air of the clouds and provides fresh inspiration for those brave enough to reach for the sky.,Canada,,
Elevation,31.99,,"Inspired by the purest mountain breezes, Elevation brings the crisp, refreshing essence of high altitudes to your space. For a quick pick-me-up or creating a focused atmosphere reach for Elevation and Elevate your senses.",Germany,,
Pirisiine Air,24.99,,"Experience the invigorating aroma of Pirisiine Air, a breath of pristine nature captured in a can. Immerse yourself in the essence of untouched forests and pure mountain peaks, revitalizing your space with every spray.",Turkey,,
Nebula,35.99,,"Explore the cosmos with Nebula. Our canned air blends capture the awe-inspiring essence of distant nebulae, providing a truly celestial olfactory experience.",US,,
Oasis Air,36.75,,"Create your own personal oasis with Oasis Air. Our cans offer the purest, cleanest air to refresh your environment, making it perfect to aid in your daily relaxation and meditation.",US,,
Breezy Bliss,33.99,,"Follow your Bliss and find your beach. The fresh, breezy airs of tropical paradise await with each can of Breezy Bliss. When you’re feeling stress let the breezes of the tropics help you find your bliss.",Spain,,
